location,size,total_sqft,bath,price
Mahadevpura,4 Bedroom,3555,4,230
5th Block Hbr Layout,3 BHK,1270,2,70
Yeshwanthpur,2 Bedroom,585,1,70
Doddanekundi,3 BHK,2045,4,154
Bellandur,3 BHK,1490,2,98
Banaswadi,7 Bedroom,6150,6,830
Mysore Road,2 BHK,883,2,40
Yeshwanthpur,1 BHK,671,1,36.85
Kammasandra,2 BHK,1156,2,32
Haralur Road,3 BHK,2017,3,125
Thigalarapalya,4 BHK,3122,6,235
Ramagondanahalli,3 BHK,1635,3,62
Sir M V Nagar,7 Bedroom,4400,9,120
Kanakpura Road,2 BHK,1296,2,89
Bikasipura,6 Bedroom,2400,4,280
Budigere,2 BHK,1139,2,62
CV Raman Nagar,2 BHK,1230,3,47
Basaveshwara Nagar Yelahanka,1 BHK,581.91,2,25
Binny Pete,2 BHK,1245,2,86.28
Sidedahalli,3 Bedroom,1158,2,85
Marathahalli,4 BHK,3951,4,220
Electronic City,2 BHK,550,1,15
Ramamurthy Nagar,1 BHK,360,1,26
Electronics City Phase 1,3 BHK,1350,3,55
Green Glen Layout,3 BHK,1670,3,120
Akshaya Nagar,3 BHK,1600,2,65
Horamavu Banaswadi,2 BHK,1307,2,51.6
7th Phase JP Nagar,3 BHK,1050,2,57
Hennur Road,3 BHK,1703,3,101
Kaggalipura,3 BHK,1210,2,58
Electronic City,2 BHK,1025,2,29.6
Haralur Road,2 BHK,1140,2,43
7th Phase JP Nagar,3 BHK,1343,2,56.41
R.T. Nagar,3 BHK,1560,3,85
Kalkere,2 BHK,925,2,51
Kanakpura Road,3 BHK,1420,2,75
1st Block Koramangala,2 BHK,1415,2,110
Shree Ananth Nagar Layout,2 BHK,1210,2,60
Yeshwanthpur,3 BHK,1852,3,160
Hoskote,3 BHK,1250,3,50
9th Phase JP Nagar,2 BHK,1100,2,65
2nd Phase Judicial Layout,2 BHK,1150,2,40.25
Jakkur,2 BHK,1100,2,53.35
Magadi Road,2 Bedroom,1350,1,100
Panathur,3 BHK,1546,3,99
Ambedkar Nagar,2 BHK,1424,2,90
Bellandur,3 BHK,1398,3,68
Indira Nagar,3 BHK,1650,3,200
HBR Layout,4 Bedroom,1200,4,120
Brookefield,3 BHK,1476,3,105
Attiguppe,2 Bedroom,500,2,70
Magadi Road,3 BHK,1322,2,58.82
Srirampuram,2 Bedroom,432,2,40
Yemlur,2 BHK,1100,2,55
Race Course Road,4 BHK,4750,5,600
Sarjapur,3 BHK,1285,2,68
Ambalipura,2 BHK,1150,2,80
Thanisandra,3 BHK,1430,2,56
Marathahalli,3 BHK,1350,2,62
Gkvk Layout,3 Bedroom,1350,3,195
Thubarahalli,2 BHK,1185,2,65
Bannerghatta Road,3 BHK,1760,3,67
Bank Of Baroda Colony,4 Bedroom,2400,5,350
Kanakpura Road,2 BHK,900,2,41
Kanakpura Road,2 BHK,1297,2,105
Sector 1 HSR Layout,3 BHK,1840,3,155
Ramamurthy Nagar,2 BHK,950,2,50.79
Chikkabanavar,5 Bedroom,1200,4,70
BTM 2nd Stage,2 BHK,950,2,52
Yeshwanthpur,2 BHK,1250 - 1305,2,95.815
Electronic City,3 BHK,1571,3,89
Electronic City Phase II,2 BHK,1031,2,55
Whitefield,2 BHK,1485,2,90
Ananth Nagar,2 BHK,1109,2,60
Koramangala,3 BHK,2200,3,180
Whitefield,1 BHK,950,1,50
Laggere,3 Bedroom,1200,2,150
Hosa Road,2 BHK,1161,2,55.15
Basavangudi,3 BHK,2350,3,300
Electronic City Phase II,2 BHK,1003,2,40.6
Bank Of Baroda Colony,2 Bedroom,1350,2,185
9th Phase JP Nagar,2 BHK,1080,2,37
Hulimavu,2 BHK,1255,2,73
Banaswadi,2 BHK,1250,2,60
Brookefield,4 Bedroom,1700,4,152
Ramamurthy Nagar,3 Bedroom,1200,2,66
St. John's Road,2 BHK,824,2,60
1st Phase JP Nagar,3 BHK,1875,3,167
Bommasandra Industrial Area,3 BHK,1320,2,38.12
Kothanur,5 Bedroom,9600,5,550
Uttarahalli,3 BHK,1330,2,47
Kaikondrahalli,3 BHK,1220,3,56
Electronic City,3 BHK,1111,3,50
Kothannur,2 BHK,1197,2,47.88
Marathahalli,4 BHK,2519,5,185
Doopanahalli,3 BHK,1340,2,100
Old Madras Road,4 Bedroom,1450,3,132
Hoodi,3 BHK,1837,3,145
Haralur Road,4 Bedroom,1200,4,245
Kudlu Gate,2 BHK,1238,2,55
7th Phase JP Nagar,3 BHK,1405,2,59.01
Doddaballapur,4 BHK,1690,3,80
Sathanur,3 BHK,1620,2,110
Kanakpura Road,3 BHK,1673,3,115
Margondanahalli,2 Bedroom,1090,2,58
Varthur,2 BHK,1112,2,40
Marathahalli,3 BHK,1385,2,66.65
Electronic City Phase II,2 BHK,545,1,27
Subramanyapura,2 BHK,985,2,58
Kanakpura Road,1 BHK,670 - 980,1,36.29
Kanakpura Road,2 BHK,1080,2,37.8
Hosa Road,2 BHK,1430,2,97.52
Kengeri Satellite Town,2 BHK,1050,2,43
Kumaraswami Layout,4 Bedroom,2000,4,139
Banashankari Stage VI,4 Bedroom,4800,4,190
ITI Layout,3 BHK,1533,3,115
Ramamohanapuram,4 Bedroom,2800,3,500
Malleshwaram,3 BHK,2610,3,399
Lakshminarayana Pura,3 BHK,1750,3,150
TC Palaya,3 Bedroom,1200,2,66
Prithvi Layout,2 BHK,1352,2,87.5
Harlur,3 BHK,1754,3,125
Tejaswini Nagar,3 BHK,1560,3,85
Bannerghatta,4 BHK,3012,6,268
Whitefield,4 BHK,3584,4,199
Channasandra,3 BHK,1470,2,90
9th Phase JP Nagar,2 BHK,1035,2,45
Whitefield,4 Bedroom,2400,5,329
Kammanahalli,2 BHK,1160,2,52
Jakkur,2 BHK,1100,2,52
Horamavu Agara,2 BHK,1170,2,38
Bannerghatta Road,1 BHK,595,1,31.83
HSR Layout,3 BHK,1650,3,110
1st Block Jayanagar,3 BHK,1875,2,235
Kamakshipalya,4 BHK,800,4,80
kanakapura road,3 BHK,1375,2,48.06
Ramagondanahalli,2 BHK,1235,2,46.8
Kaveri Nagar,1 BHK,750,1,25
7th Phase JP Nagar,3 BHK,1400,3,115
Poorna Pragna Layout,3 BHK,1270,2,50.79
Bannerghatta Road,2 BHK,1105,2,51
Sundar Ram Shetty Nagar,3 BHK,1375,2,85
Attibele,4 Bedroom,2168,4,95
Gottigere,8 Bedroom,1200,8,90
Yelahanka,2 BHK,1065,2,40.84
Sector 6 HSR Layout,3 Bedroom,3800,3,580
Raja Rajeshwari Nagar,9 Bedroom,3125,9,350
Whitefield,1 BHK,825,1,45
Nelamangala,2 BHK,1095,2,40
Ganga Nagar,3 Bedroom,720,3,65
Udayapur Village,3 BHK,1440,2,60.33
Electronic City,2 BHK,870,2,39.5
Panathur,2 BHK,1195,2,84
"Kirloskar layout, Basaveshwarnagar",2 BHK,1200,2,49.5
Raja Rajeshwari Nagar,3 BHK,1530,3,61.2
Padmanabhanagar,3 BHK,1708,2,90.5
Alfa Garden Layout,2 BHK,975,2,43
KR Puram,2 BHK,750,2,25
Gowdanapalya,8 Bedroom,1200,8,190
Iblur Village,3 BHK,1920,3,130
Nagarbhavi,6 Bedroom,1200,5,240
Thanisandra,2 BHK,1183,2,58.56
Kothanur,4 Bedroom,1140,4,90
Mico Layout,3 BHK,1550,2,65
Kaggadasapura,2 BHK,1110,2,53
NS Palya,8 Bedroom,1500,10,165
Kaggadasapura,2 BHK,1105,2,38.67
Anekal,3 Bedroom,1800,3,68
2nd Phase JP Nagar,5 BHK,2800,4,200
Bommanahalli,2 BHK,1000,2,29.9
Prithvi Layout,2 BHK,1190,2,68
2nd Stage Nagarbhavi,4 Bedroom,1350,4,200
Hebbal,4 BHK,3067,4,230
Sarjapur  Road,3 BHK,1929,4,103
Ramamurthy Nagar,3 BHK,1525,3,100
Nehru Nagar,3 BHK,1775,3,110
Banashankari,2 BHK,1125,2,63
Hessarghatta,2 BHK,900,2,42
Sarjapur  Road,2 BHK,1155,2,58
Hulimavu,4 Bedroom,1200,4,75
Sonnenahalli,2 BHK,1268,2,73
Hoodi Layout,3 BHK,1500,3,88
Electronic City,1 BHK,630,1,47
Seegehalli,3 BHK,1525,3,65
Kaggadasapura,2 BHK,1060,2,48
Lingadheeranahalli,3 BHK,1687,3,127
Thanisandra,3 BHK,1847,3,123
Begur Road,3 BHK,1410,2,53
7th Phase JP Nagar,2 BHK,1075,2,42.99
Rajaji Nagar,4 BHK,3526,4,492
BTM Layout,3 Bedroom,3000,3,338
Basavangudi,3 BHK,1500,2,143
Gaundanapalya,2 BHK,1010,2,46
Haralur Road,3 BHK,1875,3,110
Arasanakunte,5 Bedroom,1200,6,137
Kanakpura Road,2 BHK,983,2,50.6
Kasturi Nagar,2 BHK,1101,2,65
Laxmi Sagar Layout,2 BHK,1140,2,76
Sarjapur  Road,2 BHK,1215,2,110
Kengeri Satellite Town,2 BHK,1007,2,42
Bellandur,3 BHK,2039,3,168
Ulsoor,3 BHK,1020,3,110
Outer Ring Road East,2 BHK,1198,2,84
5th block Koramangala,4 BHK,4000,4,520
Nelamangala,4 Bedroom,1470,4,34.5
JakkurYelahanka,2 BHK,1370,2,75
Yemlur,2 BHK,1316,2,55.5
Kaggadasapura,3 BHK,1350,3,55.5
Gunjur Palya,2 BHK,1050,2,43
KR Puram,3 BHK,1005.03 - 1252.49,3,47.405
Electronic City,2 BHK,921,2,34
Kundalahalli,2 BHK,1010,2,49.27
KR Puram,2 BHK,1015,2,43
TC Palaya,3 Bedroom,1200,2,66.5
Lakshminarayana Pura,2 BHK,1179,2,75
Anjanapura,4 BHK,1850,4,86
Kammasandra,2 BHK,870,2,24
Bellandur,3 BHK,1605,3,85
Banashankari Stage VI,4 Bedroom,2800,4,89
Malleshwaram,3 BHK,2475,4,320
Ngef Layout,2 Bedroom,3000,2,510
Bileshivale,6 Bedroom,2400,7,110
2nd Phase JP Nagar,2 BHK,1000,1,55
Ramamurthy Nagar,2 Bedroom,1200,2,80
Manjunatha Layout,2 Bedroom,1200,2,125
Kammasandra,2 Bedroom,1200,2,66
Kashi Nagar,2 BHK,1200,2,50
Hennur,2 BHK,1255,2,57.5
Hosur Road,2 BHK,1085,2,30.38
Kanakpura Road,3 BHK,1592,3,125
B Narayanapura,2 BHK,1313,2,58.27
Kogilu,3 BHK,1934,3,150
Harlur,2 BHK,1200,2,49.5
Uttarahalli,6 BHK,3600,6,120
Old Madras Road,2 BHK,935,2,45
Bommasandra,2 BHK,877,2,30
Ashwathnagar,2 BHK,936,2,42
Nagasandra,3 BHK,1470,2,110
Upkar Layout,1 Bedroom,1050,1,70
Hennur Road,2 BHK,1232,2,69.61
Ambedkar Nagar,3 BHK,2225,4,169
Sunkadakatte,3 Bedroom,1200,2,80
Dasarahalli,3 BHK,1901,3,119
Sarjapur  Road,3 BHK,1819,3,100
HOSUR MAIN ROAD,3 BHK,1464,3,56
Banashankari,,2400,,460
Old Madras Road,4 BHK,3630 - 3800,6,200.5
9th Phase JP Nagar,4 BHK,5000,4,290
Someshwara Layout,4 BHK,1200,4,169
Kacharakanahalli,2 BHK,1256,2,60
7th Phase JP Nagar,2 BHK,1100,2,44
TC Palaya,4 Bedroom,4800,3,302
Kothanur,3 BHK,1435,3,70
6th Phase JP Nagar,4 BHK,3245,4,250
Sarjapur  Road,3 BHK,1845,4,110
Jigani,3 Bedroom,2400,4,130
HSR Layout,2 BHK,1140,2,46
Ulsoor,2 BHK,1200,2,60
Talaghattapura,3 BHK,2254,3,170
Frazer Town,3 BHK,1750,3,150
Jalahalli West,2 BHK,1020,2,37
Bommanahalli,1 BHK,515,1,25
Lingadheeranahalli,3 BHK,1893,3,140
Vasanth nagar,3 BHK,3025,3,500
Suddaguntepalya,2 BHK,830,2,34
Singasandra,2 Bedroom,600,2,36.5
Bisuvanahalli,3 BHK,1075,2,90
Kathreguppe,4 Bedroom,3200,4,1200
Kasavanhalli,2 BHK,1200,2,78
Sarjapur  Road,2 BHK,1233,2,77.65
Bannerghatta Road,2 BHK,1255,2,65.26
Begur Road,2 BHK,1200,2,37.8
Varthur,3 BHK,2145,3,175
1st Phase JP Nagar,5 Bedroom,1500,5,85
Kothannur,2 BHK,740,2,34
Kengeri,3 BHK,1250,3,48
Channasandra Layout,2 BHK,1210,2,40
Sarjapur  Road,3 BHK,1525,2,60
Kogilu,1 Bedroom,540,1,36
Tumkur Road,3 BHK,1240,2,84
Subramanyapura,3 BHK,1245,2,68
HAL 3rd Stage,3 Bedroom,1865,3,350
Hosa Road,2 BHK,1004 - 1204,2,36.43
Bisuvanahalli,3 BHK,1075,2,35.99
Nagavara,2 BHK,2200,2,55
Whitefield,2 BHK,1155,2,60
Doctors Layout,2 BHK,1520,2,62
Thigalarapalya,4 BHK,3122,6,245
Harlur,2 BHK,1290,2,85
1st Block HRBR Layout,3 BHK,2300,3,80
Kannamangala,4 Bedroom,3000,4,200
Whitefield,4 BHK,361.33Sq. Yards,4,270
Austin Town,1 BHK,400,1,14
Banashankari,3 BHK,1340,2,53.6
Malleshwaram,2 BHK,900,2,95
Rajaji Nagar,6 Bedroom,1800,4,324
Hennur Road,2 BHK,987,2,49
Old Madras Road,3 BHK,1720,3,100
Hebbal,2 BHK,1040,2,50
Anandapura,2 Bedroom,900,2,64
Raja Rajeshwari Nagar,2 BHK,1030,2,50
Neeladri Nagar,3 BHK,2556,3,133
Basavangudi,3 BHK,1850,3,168
Kaval Byrasandra,4 Bedroom,750,4,110
Balagere,2 BHK,1028,2,31.86
7th Phase JP Nagar,2 BHK,1270,2,83
Sahakara Nagar,3 BHK,1655,3,115
Electronics City Phase 1,2 BHK,940,2,40
Domlur,2 BHK,1050,2,85
Rajagopala Nagar,4 Bedroom,600,4,40
Vishwapriya Nagar,2 BHK,946,2,38
CV Raman Nagar,3 BHK,1726,3,145
Sarakki Nagar,3 BHK,2121,4,253
Vittasandra,2 BHK,1404,2,75
Sarjapur,3 BHK,1525,2,48
Kengeri,2 BHK,1025,2,57
Bahubali Nagar,5 Bedroom,1575,4,150
RMV 2nd Stage,2 BHK,860,1,43
Talaghattapura,3 BHK,1223,2,42.81
Lottegolla Halli,4 BHK,3750,3,550
Kothannur,2 BHK,1197,2,47.8
Garudachar Palya,2 BHK,1150,2,52.75
Kodbisanhalli,4 Bedroom,4800,5,629
R.T. Nagar,2 BHK,1040,2,46
Banashankari,2 BHK,1310,2,80
Uttarahalli,3 BHK,1788,3,98.34
Raja Rajeshwari Nagar,2 BHK,1144,2,38.55
Anjanapura,2 BHK,1070,2,39
Nandini Layout,2 BHK,1200,2,70
Ambedkar Nagar,3 BHK,1862,3,120
Margondanahalli,2 Bedroom,1200,2,58.5
Begur Road,2 BHK,970,2,27
Kasavanhalli,3 BHK,1646,3,79.5
Sarjapur  Road,4 BHK,4395,4,242
Vibhutipura Extension,5 Bedroom,1200,4,100
Iblur Village,3 BHK,1995,3,135
1st Block Jayanagar,4 Bedroom,2400,4,450
Hosakerehalli,2 BHK,1085,2,47.74
Budigere,2 BHK,1139,2,56.8
Haralur Road,2 BHK,1092,2,44
Pattandur Agrahara,3 BHK,1767,3,98
HMT Layout,3 BHK,1700,3,80
Bellandur,3 BHK,1692,3,88
6th Phase JP Nagar,3 BHK,1645,3,100
Uttarahalli,3 BHK,1345,2,57
Basapura,2 BHK,1100,2,60
Gollarapalya Hosahalli,3 BHK,1408,3,62
Banashankari Stage III,4 Bedroom,2400,4,240
Kadugodi,4 Bedroom,1920,4,200
Bileshivale,5 Bedroom,6040,4,170
Thigalarapalya,3 BHK,2072,4,150
Malleshwaram,2 BHK,1420,2,158
Electronics City Phase 1,3 Bedroom,2040,3,137
Sarjapur  Road,3 BHK,1220,3,56
8th Phase JP Nagar,4 Bedroom,1200,4,145
B Channasandra,2 BHK,1300,2,79
Electronics City Phase 1,2 BHK,1150,2,39
KR Puram,2 BHK,1470,2,86
Hosa Road,2 BHK,1063,2,31.9
Harappanahalli,2 BHK,1311,2,48
Dollars Colony,4 BHK,3500,4,350
Nagarbhavi,4 Bedroom,600,2,100
Arehalli,3 BHK,1400,2,55
Kanakpura Road,2 Bedroom,2200,2,62
Thanisandra,3 BHK,1430,2,56
Vidyaranyapura,2 BHK,1060,2,55
Cambridge  road,3 BHK,1000,2,110
Sector 7 HSR Layout,3 BHK,1760,3,145
Whitefield,3 BHK,2010,3,92
Kanakpura Road,3 BHK,1480,2,64.23
8th Phase JP Nagar,3 BHK,1230,2,43.5
Gottigere,3 BHK,1300,3,65
Vajarahalli,4 Bedroom,800,4,120
Frazer Town,4 BHK,4850,6,385
Singasandra,2 BHK,1100,2,52
Harlur,3 BHK,1752.12,3,116
Marathahalli,2 BHK,957,2,46.9
Balagere,1 BHK,645 - 936,1,41.9
Hennur Gardens,3 BHK,1942,3,102
Ashirvad Colony,2 BHK,1000,2,53
Yeshwanthpur,1 BHK,668,1,36.85
Cholanayakanahalli,5 Bedroom,3000,6,1000
Nagarbhavi,3 Bedroom,600,2,80
Uttarahalli,2 BHK,1089,2,43.55
Thanisandra,3 BHK,1800,3,90
Yelahanka New Town,1 BHK,960,2,18
Yelahanka,2 BHK,1036,2,39.35
Marathahalli,3 BHK,1583,3,105
7th Phase JP Nagar,4 Bedroom,3300,4,150
Padmanabhanagar,2 BHK,1100,2,65
Thyagaraja Nagar,1 Bedroom,800,1,100
Vittasandra,2 BHK,1246,2,65
Dodda Nekkundi,2 BHK,850,2,28
Raja Rajeshwari Nagar,2 BHK,1196,2,51.51
Thanisandra,3 BHK,1697,3,114
TC Palaya,2 Bedroom,1000,2,64
HRBR Layout,3 BHK,1567,3,90
Anekal,2 Bedroom,1200,1,36
Sarjapur  Road,4 Bedroom,3750,6,290
Veerannapalya,2 BHK,950,2,45
Howthinarayanappa Garden,2 BHK,1022,2,52
Kammasandra,2 BHK,1018,2,23.45
Basavanagara,4 Bedroom,2000,3,25
Bharathi Nagar,2 BHK,1322,2,68
Marsur,4 Bedroom,1800,4,145
Doddakallasandra,3 BHK,1460,2,58.39
SRINIVASAPURA,2 BHK,990,2,44.55
Cambridge Layout,3 BHK,2400,3,260
Whitefield,3 BHK,1635,2,85
Rajaji Nagar,4 BHK,3526,4,558
Padmanabhanagar,4 Bedroom,3400,3,210
Ramakrishnappa Layout,3 BHK,2770,3,460
EPIP Zone,4 BHK,2710 - 3360,5,200
Maragondanahalli,3 BHK,1533,3,85
Akshaya Nagar,3 BHK,1720,3,134
Frazer Town,3 BHK,2000,3,200
Yeshwanthpur,2 BHK,1185,2,75.84
Varthur Road,2 BHK,900,2,27
Attibele,1 BHK,395,1,10.25
Electronic City Phase II,2 BHK,1031,2,56.35
3rd Block Banashankari,6 Bedroom,2400,8,650
Thanisandra,4 BHK,2650,4,240
Basaveshwara Nagar,5 Bedroom,2400,5,415
Uttarahalli,3 BHK,1330,2,46.55
Hennur,2 BHK,1259,2,57
Raja Rajeshwari Nagar,3 BHK,1570,3,88
Bisuvanahalli,3 BHK,1075,2,36
Whitefield,2 BHK,1216,2,79
Sarjapur  Road,3 BHK,1428,2,66
Begur Road,2 BHK,1160,2,40.59
 ittamadu,3 Bedroom,600,2,110
Doddakannelli,3 BHK,1475,3,70
Harlur,3 BHK,1754,3,135
Rayasandra,3 BHK,1639,3,83
Hennur Road,3 BHK,1804,3,102
Whitefield,3 Bedroom,1200,3,56.2
Anand Nagar,2 BHK,1135,2,55
Begur Road,2 BHK,1260,2,46.62
Peenya,5 Bedroom,1440,5,110
Hennur Road,3 BHK,2160,3,160
Rayasandra,7 Bedroom,700,6,85
Rachenahalli,2 BHK,1220,2,59.5
Margondanahalli,2 Bedroom,1200,2,67
Yelahanka,2 BHK,1300,2,65
Cox Town,1 BHK,605,1,29
Vijayanagar,6 Bedroom,1230,4,210
Bhoganhalli,2 BHK,1444,2,75.97
Amruthahalli,2 BHK,924,2,45
Kaikondrahalli,2 BHK,1000,2,30
Vishveshwarya Layout,4 Bedroom,600,4,95
Patelappa Layout,3 Bedroom,1200,3,225
Bisuvanahalli,2 BHK,845,2,29
Kanakpura Road,2 BHK,700,2,35
Kothanur,2 BHK,1187,2,58
Kaggadasapura,3 BHK,1625,3,55
 Devarachikkanahalli,2 Bedroom,1200,2,83
Pulkeshi Nagar,2 BHK,1452.55,2,110
"Thanisandra Main Road, ",3 BHK,2357,3,151
Kaval Byrasandra,2 BHK,1200,2,49.5
Budigere,2 BHK,1139,2,56.85
Basavangudi,1 Bedroom,600,1,97.5
Kanakpura Road,3 BHK,1660,3,75
Jayanagar,2 BHK,1170,2,105
Somasundara Palya,2 BHK,1448,2,68
Kadugodi,3 BHK,1762,3,110
Kaggadasapura,2 BHK,1105,2,38.65
Yelahanka,3 BHK,1825,3,105
 Bhoganhalli,1 RK,296,1,22.89
Kumbalgodu,5 Bedroom,1200,4,85
Thanisandra,2 BHK,1185,2,43
Electronic City Phase II,3 BHK,1320,2,38.12
Hulimavu,2 BHK,1058,2,48
Bellandur,2 BHK,1220,2,60
Sarjapur,2 BHK,925,2,25
Old Madras Road,2 BHK,1200,2,72
Kengeri,3 BHK,1160,2,40.6
Kengeri Satellite Town,3 Bedroom,600,4,72
banashankari stage iii sa,3 BHK,1411,3,91.72
Bannerghatta Road,3 BHK,1550,3,78
Green Glen Layout,4 BHK,3250,4,230
Haralur Road,3 BHK,2475,4,130
Jakkur,4 BHK,2249.81 - 4112.19,,260.5
7th Phase JP Nagar,4 BHK,2503,4,188
Marathahalli,4 BHK,2524,5,190
Kaggadasapura,2 BHK,1063,2,42
Kanakpura Road,2 BHK,1077,2,37.7
Manayata Tech Park,2 BHK,1200,3,44
Hosakerehalli,4 BHK,1500,3,70
Jalahalli,2 BHK,1045,2,76.77
Kanakapura,3 BHK,1290,2,45.15
Hoodi,2 BHK,1400,2,78
Begur Road,3 BHK,1600,3,58.14
Jayanagar,3 BHK,3095,3,375
Nagavara,3 BHK,1545,2,58
Sarjapur  Road,3 BHK,1680,3,112
Amruthnagar,2 BHK,1350,2,67.5
Gottigere,2 BHK,950,2,38
Thanisandra,2 BHK,1050,2,45
Banashankari Stage V,3 BHK,1305,2,49
Hosakerehalli,4 Bedroom,800,4,120
Kodichikkanahalli,5 BHK,2700,7,125
MS Pallya,3 Bedroom,1100,3,78
Thanisandra,6 Bedroom,3500,5,160
Begur Road,3 BHK,1634,3,83.33
Prithvi Layout,2 BHK,1352,2,85
Balagere,2 BHK,1145,2,65
Alfa Garden Layout,2 BHK,1240,2,43.79
7th Phase JP Nagar,3 BHK,2200,3,190
Bommasandra Industrial Area,2 BHK,1020,2,39
Palace Guttahalli,4 BHK,3600,4,365
Raja Rajeshwari Nagar,2 BHK,1168,2,61
Electronic City Phase II,2 BHK,1205,2,75
Yeshwanthpur,2 BHK,1195,2,100
CV Raman Nagar,2 BHK,1028,2,49
Akshya Nagar,2 BHK,1175,2,48.27
Pai Layout,3 BHK,1550,2,90
Yeshwanthpur,3 BHK,1826,3,165
Hoodi,5 Bedroom,2400,5,160
Yelahanka,3 BHK,1603,3,96
Marathahalli,3 BHK,1350,3,72
KR Puram,1 BHK,714,1,28
Whitefield,2 BHK,1215,2,65
Malleshpalya,3 BHK,1405,2,77
KR Puram,2 BHK,1142,2,51
Akshaya Vana,4 Bedroom,4000,4,170
Whitefield,3 BHK,1870,3,90
Subramanyapura,2 BHK,1313,2,73
Hennur Gardens,3 BHK,1945,3,120
Thanisandra,3 BHK,1573,3,95
Sarjapur  Road,2 BHK,1255,2,92
Benson Town,4 BHK,1400,3,91.15
Kannamangala,2 BHK,1235,2,43.63
Sarjapur  Road,3 BHK,1380,2,52
Ramamurthy Nagar,7 Bedroom,1500,9,250
Vittasandra,2 BHK,1238,2,67
Chennammana Kere,3 BHK,1465,2,74.72
Thigalarapalya,2 BHK,1418,2,103
Victoria Layout,3 BHK,1650,3,165
 Anekal,1 RK,351,1,16
Uttarahalli,2 BHK,1279,2,48
Kasavanhalli,3 Bedroom,1870,3,200
BCC Layout,4 Bedroom,1500,5,230
Hebbal,3 BHK,2526,2,250
Mathikere,3 Bedroom,1550,2,150
Rajaji Nagar,4 BHK,3436 - 3643,,424.5
Uttarahalli,3 BHK,1845,2,68.27
Motappa Layout,3 BHK,1360,2,59.27
Friends Colony,3 BHK,1150,2,75
Whitefield,2 BHK,1260,2,49.5
Doddabidrakallu,3 Bedroom,1200,3,74
Dasanapura,2 BHK,965,2,42.5
Hoodi,3 BHK,1350,2,48
Bhoganhalli,2 BHK,1447,2,75.97
Arehalli,3 BHK,1229,3,86.03
Kudlu,2 BHK,1027,2,43
Gottigere,2 BHK,1153,2,48.5
Whitefield,4 BHK,2830 - 2882,5,145.5
Malleshpalya,2 BHK,1065,2,50
Tala Cauvery Layout,2 BHK,1030,2,61
Mallasandra,2 BHK,1340,2,61
Marathahalli,4 BHK,4000,5,212
Sri Balaji Krupa Layout,1 Bedroom,600,1,32
Begur Road,3 BHK,1410,2,44.42
Varthur,2 BHK,1055,2,45.35
Yelahanka,2 BHK,1304,2,79
Sadashiva Nagar,4 BHK,2720,4,485
Kammasandra,2 BHK,990,2,31.5
7th Phase JP Nagar,2 BHK,1035,2,39.33
Tumkur Road,1 BHK,596 - 804,1,30.09
Sonnenahalli,2 BHK,1120,2,43
Haralur Road,2 BHK,1300,2,73
Tumkur Road,2 BHK,1239,2,82
Sarjapur  Road,3 BHK,1403,3,51.63
Hosa Road,2 BHK,1365,2,92
8th block Koramangala,2 BHK,1165,2,135
Subramanyapura,3 BHK,1130,2,45.19
Green Glen Layout,3 BHK,1776.42,3,105
Vidyaranyapura,4 Bedroom,900,4,175
Haralur Road,2 BHK,1194,2,47
Bidadi,2 BHK,1107,2,33
Nagavara,3 BHK,2319,3,180
Nallurhalli,3 BHK,1520,3,80
Kannamangala,3 BHK,1536,3,89
Teachers Colony,4 BHK,3000,4,240
Belathur,2 BHK,1050,2,38
Hoodi,3 BHK,1850,3,146
Billekahalli,2 BHK,1112,2,62
Marathahalli,3 BHK,1535,3,72.5
Kanakpura Road,2 BHK,1050,2,35
Banashankari,4 Bedroom,2400,3,370
7th Phase JP Nagar,3 BHK,1250,3,65
Kalena Agrahara,2 BHK,1187,2,52
9th Phase JP Nagar,2 BHK,1164,2,56
Electronic City Phase II,3 BHK,1395,2,62.78
Arekere,3 BHK,2072,3,108
Kanakpura Road,3 BHK,1450,3,60.91
Bannerghatta Road,3 BHK,1550,3,82
Sampige Layout,2 BHK,1315,2,90
Hebbal,4 BHK,3067,4,230
Amruthnagar,2 BHK,1210,2,72
Bisuvanahalli,3 BHK,1075,2,47
Sathya Sai Layout,6 BHK,11338,9,1000
Virgonagar,3 BHK,1215,3,42.2
Kaggadasapura,3 BHK,1470,2,75
Dodsworth Layout,4 Bedroom,30000,4,2100
Hosur Road,3 BHK,1590,2,125
Kanakpura Road,2 BHK,1050,2,36.75
Raja Rajeshwari Nagar,2 BHK,1306,2,55.91
Malleshwaram,3 BHK,2000,3,250
"Kudlu Village, ",3 BHK,1445,3,64
Sarjapur  Road,3 BHK,1220,3,58
Sarjapur,4 Bedroom,3190,3,160
Ramagondanahalli,2 BHK,1215,2,51.26
Budigere,3 BHK,1920,2,88
Dodda Nekkundi,2 BHK,1390,2,60
Battarahalli,3 Bedroom,800,2,75
Nagarbhavi,3 Bedroom,600,3,100
Hoodi,2 BHK,1196,2,71.74
Bannerghatta Road,3 BHK,1550,2,75
Thigalarapalya,2 BHK,1418,2,101
Varthur Road,3 BHK,1655,3,115
KR Puram,2 BHK,1115,2,33.45
Rajiv Gandhi Nagar,2 BHK,1170,2,68
Anekal,2 BHK,1035,2,38.3
Singasandra,3 BHK,1306,2,58
Kengeri,2 BHK,750,2,22
Thanisandra,3 BHK,1917,3,122
Kaggadasapura,3 BHK,1615,3,58
